Price,Open,High,Low,Vol.,Change %
262.9,254.4,267.3,253.9,95180.0,3.31
269.6,262.9,275.4,261.7,113840.0,2.55
261.7,269.6,272.4,259.5,52270.0,-2.93
263.8,261.7,266.0,259.9,58170.0,0.82
269.8,263.8,272.1,262.7,75400.0,2.25
267.1,269.8,272.2,263.5,59640.0,-0.98
274.4,267.1,278.7,266.8,93150.0,2.74
276.9,274.4,279.8,273.2,69320.0,0.91
282.6,276.9,283.0,277.0,60130.0,2.04
287.9,282.6,295.6,281.8,113900.0,1.88
285.1,287.9,287.6,279.6,73210.0,-0.94
294.7,285.1,298.4,285.1,105870.0,3.34
303.5,294.7,307.5,294.0,116410.0,3.01
313.6,303.5,318.5,300.2,138920.0,3.32
327.1,313.6,334.9,310.8,156490.0,4.30
311.2,327.1,333.3,304.6,105830.0,-4.85
323.0,311.2,324.3,304.7,73710.0,3.76
359.3,323.0,365.8,319.8,223100.0,11.25
396.5,359.3,416.8,354.6,421990.0,10.36
400.9,396.5,492.8,368.6,517730.0,1.11
382.7,400.9,447.2,366.1,302950.0,-4.54
369.8,382.7,396.4,348.8,255280.0,-3.37
385.1,369.8,391.8,369.0,103030.0,4.13
371.6,385.1,389.8,365.5,94360.0,-3.51
380.2,371.6,385.1,360.2,125540.0,2.33
336.7,380.2,381.4,323.2,210290.0,-11.45
304.7,336.7,341.8,292.4,263960.0,-9.50
333.9,304.7,346.1,306.1,164610.0,9.56
333.8,333.9,341.8,323.9,97250.0,-0.02
331.8,333.8,369.8,326.4,71110.0,-0.60
317.5,331.8,334.8,314.2,88320.0,-4.32
330.2,317.5,332.0,314.1,87140.0,4.02
333.9,330.2,342.9,328.1,98250.0,1.12
335.9,333.9,337.4,329.4,78360.0,0.60
325.0,335.9,335.6,323.4,86380.0,-3.26
321.1,325.0,327.1,309.5,109990.0,-1.19
324.7,321.1,328.4,318.4,45000.0,1.11
322.8,324.7,326.9,319.4,36750.0,-0.59
322.1,322.8,325.0,319.9,42730.0,-0.20
318.4,322.1,323.3,315.5,50660.0,-1.17
327.5,318.4,330.0,315.7,77680.0,2.88
353.7,327.5,368.9,327.4,211380.0,8.01
359.5,353.7,363.9,345.1,103480.0,1.63
355.8,359.5,360.1,350.5,56170.0,-1.03
